Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag10059	41	Pelagibacter_AAA795-A08_00396	putative oxidoreductase	
pelag10060	41	Pelagibacter_AAA795-M22_00402	Histidinol-phosphate aminotransferase 2	
pelag10061	41	AAA024N17_00078	hypothetical protein	
pelag10062	41	AAA024N17_00080	Isoleucine--tRNA ligase	
pelag10063	41	AAA024N17_00085	60 kDa chaperonin 5	
pelag10064	41	AAA024N17_00087	ATP phosphoribosyltransferase regulatory subunit	
pelag10065	41	HIMB058_00731	Ribonuclease D	
pelag10066	41	AAA024N17_00235	putative efflux pump membrane transporter TtgB	
pelag10067	41	AAA024N17_00260	Transcription elongation factor GreA	
pelag10068	41	AAA024N17_00266	Dihydrolipoyl dehydrogenase 3	
pelag10069	41	AAA024N17_00267	Transaldolase	
pelag10070	41	AAA024N17_00268	Primosomal protein N'	
pelag10071	41	AAA280B11_00022	Chromosome partition protein Smc	
pelag10072	41	AAA280B11_00032	Ribonuclease HI	
pelag10073	41	AAA280B11_00089	hypothetical protein	
pelag10074	41	AAA280B11_00090	hypothetical protein	
pelag10075	41	AAA280B11_00146	Arabinose 5-phosphate isomerase KdsD	
pelag10076	41	AAA280B11_00264	Tryptophan synthase alpha chain	
pelag10077	41	AAA280B11_00265	Tryptophan synthase beta chain	
pelag10078	41	AAA280B11_00267	Orotidine 5'-phosphate decarboxylase	
pelag10079	41	AAA280B11_00497	DNA-directed RNA polymerase subunit alpha	
pelag10080	41	AAA280B11_00498	50S ribosomal protein L17	
pelag10081	41	AAA280B11_00501	Octanoyltransferase	
pelag10082	41	AAA280B11_00686	Aerobic cobaltochelatase subunit CobT	
pelag10083	41	AAA280B11_00698	Cell division protein FtsA	
pelag10084	41	AAA280B11_00735	ATP synthase subunit beta	
pelag10085	41	AAA280B11_00766	30S ribosomal protein S14	
pelag10086	41	AAA280B11_00767	30S ribosomal protein S8	
pelag10087	41	AAA280P20_00061	50S ribosomal protein L15	
pelag10088	41	AAA280P20_00063	50S ribosomal protein L18	
pelag10089	41	AAA280P20_00064	50S ribosomal protein L6	
pelag10090	41	AAA280P20_00402	2-isopropylmalate synthase	
pelag10091	41	AAA280P20_00409	hypothetical protein	
pelag10092	41	AAA280P20_00619	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	
pelag10093	40	AAA024N17_00017	hypothetical protein	
pelag10094	40	AAA024N17_00019	3-methyl-2-oxobutanoate hydroxymethyltransferase	
pelag10095	40	AAA024N17_00024	Amidophosphoribosyltransferase	
pelag10096	40	AAA024N17_00035	Guanylate kinase	
pelag10097	40	AAA024N17_00082	putative hydrolase YutF	
pelag10098	40	AAA024N17_00094	hypothetical protein	
pelag10099	40	AAA024N17_00117	Oxalate:formate antiporter	
pelag10100	40	AAA024N17_00130	ATP-dependent zinc metalloprotease FtsH	
pelag10101	40	AAA024N17_00132	Phosphoglucosamine mutase	
pelag10102	40	AAA024N17_00134	Lipid-A-disaccharide synthase	
pelag10103	40	AAA024N17_00135	hypothetical protein	
pelag10104	40	AAA024N17_00137	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	
pelag10105	40	AAA024N17_00168	N,N'-diacetyllegionaminic acid synthase	
pelag10106	40	AAA024N17_00177	Murein DD-endopeptidase MepM	
pelag10107	40	AAA024N17_00230	Ornithine carbamoyltransferase	
pelag10108	40	AAA024N17_00232	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	
pelag10109	40	AAA024N17_00241	Imidazole glycerol phosphate synthase subunit HisH 1	
pelag10110	40	AAA024N17_00259	Oxygen-dependent coproporphyrinogen-III oxidase	
pelag10111	40	AAA024N17_00264	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	
pelag10112	40	AAA024N17_00270	Succinyl-CoA ligase [ADP-forming] subunit alpha	
pelag10113	40	AAA024N17_00271	Succinyl-CoA ligase [ADP-forming] subunit beta	
pelag10114	40	AAA024N17_00274	3-isopropylmalate dehydrogenase	
pelag10115	40	AAA024N17_00275	Aspartate-semialdehyde dehydrogenase 2	
pelag10116	40	AAA024N17_00279	3-isopropylmalate dehydratase large subunit	
pelag10117	40	Pelagibacter_AAA795-B16_00140	Lipopolysaccharide export system ATP-binding protein LptB	
pelag10118	40	AAA024N17_00322	50S ribosomal protein L19	
pelag10119	40	AAA024N17_00331	3-mercaptopyruvate sulfurtransferase	
pelag10120	40	AAA024N17_00343	ATP synthase gamma chain	
pelag10121	40	AAA280B11_00024	ATP synthase subunit a	
pelag10122	40	AAA280B11_00026	ATP synthase subunit b, sodium ion specific	
pelag10123	40	AAA280B11_00030	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
pelag10124	40	AAA280B11_00031	Homoserine kinase	
pelag10125	40	AAA280B11_00039	Cytochrome c oxidase subunit 1	
pelag10126	40	AAA280B11_00099	3'(2'),5'-bisphosphate nucleotidase CysQ	
pelag10127	40	AAA280B11_00101	Regulatory protein RecX	
pelag10128	40	AAA280B11_00164	Magnesium transporter MgtE	
pelag10129	40	AAA280B11_00266	N-(5'-phosphoribosyl)anthranilate isomerase	
pelag10130	40	AAA280B11_00271	3-phosphoshikimate 1-carboxyvinyltransferase	
pelag10131	40	AAA280B11_00275	Cysteine synthase	
pelag10132	40	AAA280B11_00281	hypothetical protein	
pelag10133	40	AAA280B11_00353	Adenylosuccinate synthetase	
pelag10134	40	AAA280B11_00503	UTP--glucose-1-phosphate uridylyltransferase	
pelag10135	40	Pelagibacter_AAA795-F16_00657	Elongation factor G	
pelag10136	40	AAA280B11_00557	ATP-dependent DNA helicase PcrA	
pelag10137	40	AAA280B11_00558	Aminopeptidase YpdF	
pelag10138	40	AAA280B11_00673	Aspartate kinase	
pelag10139	40	AAA280B11_00687	Inner membrane protein YhhQ	
pelag10140	40	AAA280B11_00691	Dihydroorotate dehydrogenase (quinone)	
pelag10141	40	AAA280B11_00695	Adenosylhomocysteinase	
pelag10142	40	AAA280B11_00700	D-alanine--D-alanine ligase	
pelag10143	40	AAA280B11_00709	Malate dehydrogenase	
pelag10144	40	AAA280P20_00057	30S ribosomal protein S13	
pelag10145	40	AAA280P20_00062	30S ribosomal protein S5	
pelag10146	40	AAA280P20_00071	50S ribosomal protein L29	
pelag10147	40	AAA280P20_00072	50S ribosomal protein L16	
pelag10148	40	AAA280P20_00077	50S ribosomal protein L23	
pelag10149	40	AAA280P20_00393	Flagellum site-determining protein YlxH	
pelag10150	40	AAA280P20_00398	tRNA dimethylallyltransferase	
pelag10151	40	AAA280P20_00461	Protease 2	
pelag10152	40	AAA280P20_00521	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	
pelag10153	40	AAA280P20_00542	DNA polymerase I	
pelag10154	40	AAA280P20_00641	Ubiquinone biosynthesis O-methyltransferase	
pelag10155	40	AAA288G21_00582	hypothetical protein	
pelag10156	40	AAA288G21_00598	Polyamine aminopropyltransferase	
pelag10157	40	AAA288G21_00642	Nucleoid-associated protein	
pelag10158	40	AAA288G21_00644	P-protein	
pelag10159	40	AAA288G21_00645	3-deoxy-manno-octulosonate cytidylyltransferase	
pelag10160	39	AAA288G21_00621	Integration host factor subunit beta	
pelag10161	39	AAA288N07_00325	Aerobic cobaltochelatase subunit CobS	
pelag10162	39	HIMB083_00447	4-methylaminobutanoate oxidase (formaldehyde-forming)	
pelag10163	39	AAA024N17_00012	Phosphatidylserine decarboxylase proenzyme	
pelag10164	39	AAA024N17_00015	Ribosomal RNA large subunit methyltransferase E	
pelag10165	39	AAA024N17_00018	GMP synthase [glutamine-hydrolyzing]	
pelag10166	39	AAA024N17_00025	Colicin V production protein	
pelag10167	39	AAA024N17_00026	Putative membrane protein YdgH	
pelag10168	39	AAA024N17_00037	4-hydroxythreonine-4-phosphate dehydrogenase 2	
pelag10169	39	AAA280B11_00084	2-hydroxy-3-oxopropionate reductase	
pelag10170	39	AAA280B11_00606	putative amino-acid metabolite efflux pump	
pelag10171	39	AAA280B11_00079	Ectoine TRAP transporter large permease protein TeaC	
pelag10172	39	AAA024N17_00076	Ribosomal RNA small subunit methyltransferase D	
pelag10173	39	AAA024N17_00077	Glucose-6-phosphate isomerase	
pelag10174	39	AAA024N17_00081	Riboflavin biosynthesis protein RibF	
pelag10175	39	AAA024N17_00084	10 kDa chaperonin 2	
pelag10176	39	AAA024N17_00088	Histidine--tRNA ligase	
pelag10177	39	AAA024N17_00093	Histidinol dehydrogenase	
pelag10178	39	AAA024N17_00096	Deoxycytidine triphosphate deaminase	
pelag10179	39	AAA024N17_00100	Beta-carotene 15,15'-dioxygenase	
pelag10180	39	AAA024N17_00101	hypothetical protein	
pelag10181	39	AAA280B11_00675	Peptide chain release factor 1	
pelag10182	39	AAA280B11_00201	Zinc-dependent sulfurtransferase SufU	
pelag10183	39	AAA024N17_00227	hypothetical protein	
pelag10184	39	AAA024N17_00231	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	
pelag10185	39	AAA024N17_00234	hypothetical protein	
pelag10186	39	AAA024N17_00250	DNA polymerase III subunit epsilon	
pelag10187	39	AAA024N17_00251	Protein-export protein SecB	
pelag10188	39	AAA024N17_00276	Succinate dehydrogenase cytochrome b556 subunit	
pelag10189	39	AAA024N17_00278	Succinate dehydrogenase flavoprotein subunit	
pelag10190	39	AAA024N17_00291	DNA polymerase III subunit alpha	
pelag10191	39	AAA024N17_00311	Glutamate--tRNA ligase	
pelag10192	39	AAA024N17_00323	tRNA (guanine-N(1)-)-methyltransferase	
pelag10193	39	AAA024N17_00325	Signal recognition particle protein	
pelag10194	39	AAA024N17_00332	Toluene efflux pump periplasmic linker protein TtgG	
pelag10195	39	AAA024N17_00347	Folylpolyglutamate synthase	
pelag10196	39	AAA024N17_00356	Ribosomal silencing factor RsfS	
pelag10197	39	AAA280B11_00002	Peptidyl-tRNA hydrolase	
pelag10198	39	AAA280B11_00025	ATP synthase subunit c	
pelag10199	39	AAA280B11_00027	ATP synthase subunit b	
pelag10200	39	AAA280B11_00035	Cytochrome c oxidase subunit 3	
pelag10201	39	AAA280B11_00097	tRNA-specific 2-thiouridylase MnmA	
pelag10202	39	AAA280B11_00098	hypothetical protein	
pelag10203	39	AAA280B11_00102	hypothetical protein	
pelag10204	39	AAA280B11_00110	DNA-binding protein HU 1	
pelag10205	39	AAA280B11_00111	Metalloprotease MmpA	
pelag10206	39	QL1_01104	All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)	
pelag10207	39	AAA280B11_00132	Phenylalanine--tRNA ligase beta subunit	
pelag10208	39	AAA280B11_00177	hypothetical protein	
pelag10209	39	Pelagibacter_AAA795-L23_00317	hypothetical protein	
pelag10210	39	AAA280B11_00269	30S ribosomal protein S1	
pelag10211	39	AAA280B11_00352	RNA polymerase sigma factor RpoH	
pelag10212	39	AAA280B11_00354	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	
pelag10213	39	AAA280B11_00381	Phytoene desaturase (lycopene-forming)	
pelag10214	39	AAA280B11_00382	All-trans-phytoene synthase	
pelag10215	39	AAA280B11_00496	30S ribosomal protein S11	
pelag10216	39	AAA280B11_00555	Fumarate hydratase class II	
pelag10217	39	AAA280B11_00559	DNA ligase	
pelag10218	39	AAA280B11_00570	Diaminopimelate epimerase	
pelag10219	39	AAA280B11_00609	putative glutaredoxin	
pelag10220	39	AAA280B11_00634	Polyribonucleotide nucleotidyltransferase	
pelag10221	39	AAA280B11_00638	Translation initiation factor IF-2	
pelag10222	39	AAA280B11_00674	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	
pelag10223	39	AAA280B11_00683	Sensor protein CreC	
pelag10224	39	AAA280B11_00693	hypothetical protein	
pelag10225	39	AAA280B11_00694	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	
pelag10226	39	AAA280B11_00702	UDP-N-acetylmuramate--L-alanine ligase	
pelag10227	39	AAA280B11_00710	Putative 3-oxopropanoate dehydrogenase	
pelag10228	39	AAA280P20_00067	50S ribosomal protein L5	
pelag10229	39	AAA280P20_00068	50S ribosomal protein L24	
pelag10230	39	AAA280P20_00069	50S ribosomal protein L14	
pelag10231	39	AAA280P20_00070	30S ribosomal protein S17	
pelag10232	39	AAA280P20_00073	30S ribosomal protein S3	
pelag10233	39	AAA280P20_00074	50S ribosomal protein L22	
pelag10234	39	AAA280P20_00075	30S ribosomal protein S19	
pelag10235	39	AAA280P20_00076	50S ribosomal protein L2	
pelag10236	39	AAA280P20_00079	50S ribosomal protein L3	
pelag10237	39	AAA280P20_00309	Deoxyhypusine synthase-like protein	
pelag10238	39	AAA280P20_00312	Sensor histidine kinase RegB	
pelag10239	39	AAA280P20_00313	DNA gyrase subunit B	
pelag10240	39	AAA280P20_00396	hypothetical protein	
pelag10241	39	AAA280P20_00489	Carboxy-terminal processing protease CtpA	
pelag10242	39	AAA280P20_00492	Nicotinate-nucleotide adenylyltransferase	
pelag10243	39	AAA280P20_00493	Gamma-glutamyl phosphate reductase	
pelag10244	39	AAA280P20_00554	Pyrroline-5-carboxylate reductase	
pelag10245	39	AAA280P20_00675	Phosphoribosylformylglycinamidine synthase subunit PurL	
pelag10246	39	AAA280P20_00709	UvrABC system protein C	
pelag10247	39	AAA280P20_00733	hypothetical protein	
pelag10248	39	AAA280P20_00734	Prolipoprotein diacylglyceryl transferase	
pelag10249	39	AAA288G21_00640	Malate synthase G	
pelag10250	39	AAA288G21_00641	Recombination protein RecR	
pelag10251	39	AAA288G21_00873	D-amino acid dehydrogenase 1	
pelag10252	39	AAA288N07_00780	Laccase domain protein YfiH	
pelag10253	39	AAA288N07_00781	Ribose-phosphate pyrophosphokinase	
pelag10254	38	AAA024N17_00011	Isocitrate dehydrogenase [NADP]	
pelag10255	38	AAA024N17_00013	Phosphatidylcholine synthase	
pelag10256	38	AAA024N17_00016	Inosine-5'-monophosphate dehydrogenase	
pelag10257	38	AAA024N17_00022	Outer membrane protein assembly factor BamB	
pelag10258	38	AAA024N17_00032	Malonyl CoA-acyl carrier protein transacylase	
pelag10259	38	AAA024N17_00036	Ribosomal RNA small subunit methyltransferase A	
pelag10260	38	AAA024N17_00073	Phosphoribosylamine--glycine ligase	
pelag10261	38	AAA024N17_00092	Translation initiation factor IF-1	
pelag10262	38	AAA024N17_00105	Quinolinate synthase A	
pelag10263	38	AAA024N17_00107	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	
pelag10264	38	AAA024N17_00131	Dihydropteroate synthase	
pelag10265	38	AAA024N17_00136	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	
pelag10266	38	AAA024N17_00139	Outer membrane protein assembly factor BamA	
pelag10267	38	AAA024N17_00144	Elongation factor Ts	
pelag10268	38	Pelagibacter_AAA795-A08_00208	Carbamoyl-phosphate synthase large chain	
pelag10269	38	AAA280P20_00048	UDP-glucose 6-dehydrogenase TuaD	
pelag10270	38	AAA024N17_00200	hypothetical protein	
pelag10271	38	AAA024N17_00249	Dephospho-CoA kinase	
pelag10272	38	AAA024N17_00253	Endonuclease MutS2	
pelag10273	38	AAA024N17_00265	Beta-barrel assembly-enhancing protease	
pelag10274	38	AAA024N17_00277	Succinate dehydrogenase hydrophobic membrane anchor subunit	
pelag10275	38	AAA024N17_00289	Lipoprotein-releasing system transmembrane protein LolE	
pelag10276	38	Pelagibacter_AAA795-A08_00323	Transcriptional regulatory protein CreB	
pelag10277	38	Pelagibacter_AAA795-B16_00045	Photosynthetic apparatus regulatory protein RegA	
pelag10278	38	AAA024N17_00313	Indole-3-glycerol phosphate synthase	
pelag10279	38	AAA024N17_00320	hypothetical protein	
pelag10280	38	AAA024N17_00326	Lipid A biosynthesis lauroyltransferase	
pelag10281	38	AAA024N17_00348	Thioredoxin	
pelag10282	38	AAA024N17_00358	hypothetical protein	
pelag10283	38	AAA280B11_00040	Cytochrome c oxidase subunit 2	
pelag10284	38	AAA288N07_00938	Inositol-1-monophosphatase	
pelag10285	38	AAA280B11_00104	putative adenylyltransferase/sulfurtransferase MoeZ	
pelag10286	38	AAA280B11_00121	1-deoxy-D-xylulose-5-phosphate synthase	
pelag10287	38	AAA280B11_00131	Elongation factor 4	
pelag10288	38	AAA280B11_00197	Queuine tRNA-ribosyltransferase	
pelag10289	38	AAA280B11_00198	Peptidyl-prolyl cis-trans isomerase B	
pelag10290	38	AAA280B11_00258	Exodeoxyribonuclease I	
pelag10291	38	AAA280B11_00270	Cytidylate kinase	
pelag10292	38	AAA280B11_00274	Homoserine O-acetyltransferase	
pelag10293	38	AAA280B11_00282	hypothetical protein	
pelag10294	38	AAA280B11_00312	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	
pelag10295	38	AAA280B11_00331	NAD(P) transhydrogenase subunit alpha part 1	
pelag10296	38	AAA280B11_00502	Pantothenate synthetase	
pelag10297	38	AAA280B11_00509	DNA topoisomerase 1	
pelag10298	38	AAA280B11_00516	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	
pelag10299	38	AAA280B11_00521	GTP-binding protein TypA/BipA	
pelag10300	38	AAA288N07_00588	Cystathionine beta-lyase	
pelag10301	38	AAA280B11_00632	3-oxoacyl-[acyl-carrier-protein] synthase 1	
pelag10302	38	AAA280B11_00684	Chaperone protein DnaJ	
pelag10303	38	AAA280B11_00688	50S ribosomal protein L28	
pelag10304	38	AAA280B11_00689	hypothetical protein	
pelag10305	38	AAA280B11_00762	Succinyl-diaminopimelate desuccinylase	
pelag10306	38	AAA280B11_00769	RNA pyrophosphohydrolase	
pelag10307	38	AAA280P20_00080	30S ribosomal protein S10	
pelag10308	38	AAA280P20_00305	Biotin transporter BioY	
pelag10309	38	AAA280P20_00410	50S ribosomal protein L31	
pelag10310	38	AAA280P20_00462	Glutathione synthetase	
pelag10311	38	AAA280P20_00464	hypothetical protein	
pelag10312	38	AAA280P20_00496	50S ribosomal protein L27	
pelag10313	38	AAA280P20_00497	50S ribosomal protein L21	
pelag10314	38	AAA280P20_00498	Hydroxyacylglutathione hydrolase	
pelag10315	38	AAA280P20_00499	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag10316	38	AAA280P20_00501	Prephenate dehydrogenase	
pelag10317	38	AAA280P20_00730	Dipeptidyl-peptidase 6	
pelag10318	38	AAA280P20_00732	hypothetical protein	
pelag10319	38	AAA288G21_00646	Cytochrome c-552	
pelag10320	38	AAA288G21_00823	Xanthine phosphoribosyltransferase	
pelag10321	38	AAA288G21_00825	hypothetical protein	
pelag10322	37	HIMB058_00092	putative FAD-linked oxidoreductase	
pelag10323	37	IMCC9063_00255	Pyruvate dehydrogenase E1 component	
pelag10324	37	AAA024N17_00028	Replicative DNA helicase	
pelag10325	37	AAA024N17_00029	50S ribosomal protein L9	
pelag10326	37	AAA024N17_00034	Acyl carrier protein	
pelag10327	37	AAA024N17_00083	Beta-alanine--pyruvate aminotransferase	
pelag10328	37	AAA024N17_00097	hypothetical protein	
pelag10329	37	Pelagibacter_AAA795-F16_00621	Dihydroorotase	
pelag10330	37	AAA024N17_00138	UDP-3-O-acylglucosamine N-acyltransferase	
pelag10331	37	AAA024N17_00140	1-deoxy-D-xylulose 5-phosphate reductoisomerase	
pelag10332	37	AAA024N17_00141	Phosphatidate cytidylyltransferase	
pelag10333	37	AAA024N17_00143	Ribosome-recycling factor	
pelag10334	37	AAA024N17_00155	Ribonuclease E	
pelag10335	37	AAA280B11_00045	Lipid A export ATP-binding/permease protein MsbA	
pelag10336	37	AAA280B11_00114	Acrylyl-CoA reductase AcuI	
pelag10337	37	AAA024N17_00211	Cell division protein ZapE	
pelag10338	37	AAA024N17_00247	Septum formation protein Maf	
pelag10339	37	AAA024N17_00252	hypothetical protein	
pelag10340	37	AAA024N17_00293	30S ribosomal protein S2	
pelag10341	37	Pelagibacter_AAA795-J21_00497	Nitrogen regulation protein NR(I)	
pelag10342	37	AAA024N17_00309	LPS-assembly protein LptD	
pelag10343	37	AAA024N17_00312	LexA repressor	
pelag10344	37	AAA024N17_00314	Anthranilate phosphoribosyltransferase	
pelag10345	37	AAA024N17_00327	Murein DD-endopeptidase MepM	
pelag10346	37	AAA024N17_00328	hypothetical protein	
pelag10347	37	AAA024N17_00353	Ribonuclease HII	
pelag10348	37	AAA024N17_00355	NADH-quinone oxidoreductase subunit M	
pelag10349	37	AAA280B11_00001	50S ribosomal protein L25	
pelag10350	37	AAA280B11_00015	hypothetical protein	
pelag10351	37	AAA280B11_00021	Disulfide bond formation protein D	
pelag10352	37	AAA280B11_00036	Cytochrome c oxidase assembly protein CtaG	
pelag10353	37	AAA280B11_00038	Protoheme IX farnesyltransferase	
pelag10354	37	AAA280B11_00044	Metalloprotease PmbA	
pelag10355	37	AAA280B11_00047	Tetraacyldisaccharide 4'-kinase	
pelag10356	37	AAA280B11_00083	DNA-directed RNA polymerase subunit omega	
pelag10357	37	AAA280B11_00087	Thiol-disulfide oxidoreductase ResA	
pelag10358	37	AAA280B11_00113	HTH-type transcriptional regulator PgrR	
pelag10359	37	AAA280B11_00117	Phosphoribosyl-AMP cyclohydrolase	
pelag10360	37	AAA280B11_00137	Threonine--tRNA ligase	
pelag10361	37	AAA280B11_00138	D-inositol 3-phosphate glycosyltransferase	
pelag10362	37	AAA280B11_00147	Lipopolysaccharide export system protein LptC	
pelag10363	37	HIMB058_00193	Riboflavin transporter	
pelag10364	37	AAA280B11_00180	Methionine--tRNA ligase	
pelag10365	37	AAA280B11_00194	hypothetical protein	
pelag10366	37	AAA280B11_00199	Phosphopantetheine adenylyltransferase	
pelag10367	37	AAA280B11_00308	hypothetical protein	
pelag10368	37	AAA280B11_00309	Chromosome-partitioning protein ParB	
pelag10369	37	AAA280B11_00322	Imidazole glycerol phosphate synthase subunit HisF	
pelag10370	37	AAA280B11_00330	NAD(P) transhydrogenase subunit alpha	
pelag10371	37	AAA280B11_00412	(S)-2-haloacid dehalogenase 4A	
pelag10372	37	AAA280B11_00427	hypothetical protein	
pelag10373	37	AAA280B11_00508	2-iminobutanoate/2-iminopropanoate deaminase	
pelag10374	37	AAA280B11_00510	putative glycerol-3-phosphate acyltransferase	
pelag10375	37	AAA280B11_00520	hypothetical protein	
pelag10376	37	HIMB083_01065	Peptide methionine sulfoxide reductase MsrA	
pelag10377	37	AAA288N07_00032	Cysteine/O-acetylserine efflux protein	
pelag10378	37	AAA280B11_00598	GDP-mannose 4,6-dehydratase	
pelag10379	37	AAA280B11_00608	Thiol:disulfide interchange protein DsbD	
pelag10380	37	AAA280B11_00627	Coenzyme A biosynthesis bifunctional protein CoaBC	
pelag10381	37	AAA280B11_00633	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	
pelag10382	37	AAA280B11_00635	30S ribosomal protein S15	
pelag10383	37	AAA280B11_00637	Ribosome-binding factor A	
pelag10384	37	AAA280B11_00692	Lysine--tRNA ligase	
pelag10385	37	AAA280B11_00701	UDP-N-acetylenolpyruvoylglucosamine reductase	
pelag10386	37	AAA280B11_00711	Succinate dehydrogenase iron-sulfur subunit	
pelag10387	37	AAA280B11_00765	3-dehydroquinate synthase	
pelag10388	37	AAA280P20_00083	30S ribosomal protein S12	
pelag10389	37	AAA280P20_00308	Lysine/ornithine decarboxylase	
pelag10390	37	AAA280P20_00413	Elongation factor P	
pelag10391	37	AAA280P20_00465	DNA-3-methyladenine glycosylase	
pelag10392	37	AAA280P20_00495	GTPase Obg/CgtA	
